timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-23T15:22:57,ひとみ,ime_hira,1,L1-01,おはよう,おはよう,,o a o u,,447.0,1614.0,8,1,143.5,-1,1
2026-06-23T15:23:03,ひとみ,ime_hira,1,L1-02,パソコン,ぱそこん,,a o o n,,550.0,1863.0,8,0,176.3,-1,1
2026-06-23T15:23:10,ひとみ,ime_hira,1,L1-03,電話,でんわ,,e n a,,480.0,2947.0,9,1,238.9,-1,1
2026-06-23T15:23:19,ひとみ,ime_hira,2,L2-01,何を食べようか,なにをたべようか,,a i o a e o u a,,741.0,5664.0,17,0,324.1,-1,1
2026-06-23T15:23:26,ひとみ,ime_hira,2,L2-02,気をつけてね,きをつけてね,,i o u e e e,,370.0,2714.0,12,0,204.2,-1,1
2026-06-23T15:23:32,ひとみ,ime_hira,2,L2-03,お腹がすいた,おなかがすいた,,o a a a u i a,,462.0,2513.0,12,0,180.0,-1,1
2026-06-23T15:23:41,ひとみ,ime_hira,3,L3-01,来週は寒くなりそうだ,らいしゅうはさむくなりそうだ,,a i u u a a u u a i o u a,,198.0,5613.0,24,0,217.4,-1,1
2026-06-23T15:23:49,ひとみ,ime_hira,3,L3-02,あなたはどこにいるの,あなたはどきにいるの,,a a a a o o i i u o,,429.0,4846.0,18,0,256.0,-1,0
2026-06-23T15:24:03,ひとみ,ime_hira,3,L3-02,あなたはどこにいるの,あなたはどこにいるの,,a a a a o o i i u o,,654.0,7913.0,29,0,264.3,-1,1
2026-06-23T15:24:23,ひとみ,ime_hira,3,L3-03,車で行こうか、電車で行こうか,くるまでいこうか、でんしゃでいこうか,,u u a e i o u a 、 e n a e i o u a,,567.0,16816.0,45,4,340.6,-1,1
2026-06-23T15:24:46,ひとみ,vowel_noinfer,1,L1-01,おはよう,oaou,oaou,o a o u,0.0,8724.0,1196.0,4,0,184.3,-1,1
