timestamp,name,mode,level,sentence_id,gold,typed,typed_vowels,gold_vowels,vowel_cer,t_init_ms,t_total_ms,keystrokes,backspaces,mean_iki_ms,selected_rank,success
2026-06-23T16:03:44,あんおう,ime_hira,1,L1-01,おはよう,おはよう,,o a o u,,796.0,2330.0,6,0,236.6,-1,1
2026-06-23T16:03:51,あんおう,ime_hira,1,L1-02,パソコン,ぱそこん,,a o o n,,653.0,2331.0,8,0,228.6,-1,1
2026-06-23T16:03:57,あんおう,ime_hira,1,L1-03,電話,でんわ,,e n a,,630.0,2015.0,6,0,243.4,-1,1
2026-06-23T16:04:05,あんおう,ime_hira,2,L2-01,何を食べようか,なにをたべようか,,a i o a e o u a,,732.0,4049.0,15,0,235.6,-1,1
2026-06-23T16:04:12,あんおう,ime_hira,2,L2-02,気をつけてね,きをつけてね,,i o u e e e,,246.0,4465.0,12,0,348.6,-1,1
2026-06-23T16:04:19,あんおう,ime_hira,2,L2-03,お腹がすいた,おなかがすいた,,o a a a u i a,,663.0,2915.0,12,0,202.9,-1,1
2026-06-23T16:04:30,あんおう,ime_hira,3,L3-01,来週は寒くなりそうだ,らいしゅうはさむくなりそうだ,,a i u u a a u u a i o u a,,790.0,6848.0,24,0,267.5,-1,1
2026-06-23T16:04:39,あんおう,ime_hira,3,L3-02,あなたはどこにいるの,あなたはどこにいるの,,a a a a o o i i u o,,708.0,5597.0,18,0,278.5,-1,1
2026-06-23T16:05:02,あんおう,ime_hira,3,L3-03,車で行こうか、電車で行こうか,くるまでいこうかでんしゃでいこうか,,u u a e i o u a 、 e n a e i o u a,,709.0,18617.0,29,0,279.2,-1,1
2026-06-23T16:05:33,あんおう,vowel_noinfer,1,L1-01,おはよう,oaou,oaou,o a o u,0.0,849.0,3080.0,4,0,629.0,-1,1
2026-06-23T16:05:39,あんおう,vowel_noinfer,1,L1-02,パソコン,aoon,aoon,a o o n,0.0,1270.0,1629.0,4,0,262.0,-1,1
2026-06-23T16:05:46,あんおう,vowel_noinfer,1,L1-03,電話,ena,ena,e n a,0.0,2000.0,1480.0,3,0,276.5,-1,1
2026-06-23T16:05:55,あんおう,vowel_noinfer,2,L2-01,何を食べようか,aioaeoua,aioaeoua,a i o a e o u a,0.0,1082.0,4782.0,8,0,581.6,-1,1
2026-06-23T16:06:05,あんおう,vowel_noinfer,2,L2-02,気をつけてね,ioueee,ioueee,i o u e e e,0.0,1247.0,5947.0,6,0,980.6,-1,1
2026-06-23T16:06:15,あんおう,vowel_noinfer,2,L2-03,お腹がすいた,oaaauia,oaaauia,o a a a u i a,0.0,945.0,5480.0,7,0,753.0,-1,1
2026-06-23T16:06:43,あんおう,vowel_noinfer,3,L3-01,来週は寒くなりそうだ,aiuuaauuaioua,aiuuaauuaioua,a i u u a a u u a i o u a,0.0,894.0,23834.0,13,0,1123.9,-1,1
2026-06-23T16:06:56,あんおう,vowel_noinfer,3,L3-02,あなたはどこにいるの,aaaaooiiuo,aaaaooiiuo,a a a a o o i i u o,0.0,1432.0,8830.0,10,0,826.3,-1,1
2026-06-23T16:07:19,あんおう,vowel_noinfer,3,L3-03,車で行こうか、電車で行こうか,uuaeiouaenaeioua,uuaeiouaenaeioua,u u a e i o u a 、 e n a e i o u a,0.058823529411764705,2502.0,17229.0,16,0,1024.7,-1,1
2026-06-23T16:07:54,あんおう,ime,1,L1-01,おはよう,おはよう,,o a o u,,1777.0,4080.0,8,1,405.8,-1,1
2026-06-23T16:07:59,あんおう,ime,1,L1-02,パソコン,パソコン,,a o o n,,455.0,2080.0,10,1,144.7,-1,1
2026-06-23T16:08:06,あんおう,ime,1,L1-03,電話,電話,,e n a,,87.0,3354.0,8,1,189.1,-1,1
2026-06-23T16:08:14,あんおう,ime,2,L2-01,何を食べようか,何を食べようか,,a i o a e o u a,,681.0,4148.0,17,1,214.6,-1,1
2026-06-23T16:08:21,あんおう,ime,2,L2-02,気をつけてね,気をつけてね,,i o u e e e,,419.0,3598.0,14,1,217.8,-1,1
